batch_size,latency_ms_per_batch,latency_ms_per_image,vram_peak_mb,input_size,profile_iters,warmup_iters,method_id,method_label,seed,run_dir
64,80.78548990885416,1.2622732798258465,3697.42626953125,224,30,10,fusion_residual,Residual,2,runs_binary_iqa/fusion_residual_seed2
8,5.028317769368489,0.6285397211710612,3043.94189453125,224,30,10,fusion_residual,Residual,3,runs_binary_iqa/fusion_residual_seed3
16,14.036981201171876,0.8773113250732422,930.5126953125,224,30,10,fusion_residual,Residual,3,runs_binary_iqa/fusion_residual_seed3
32,18.21280314127604,0.5691500981648763,1212.0751953125,224,30,10,fusion_residual,Residual,3,runs_binary_iqa/fusion_residual_seed3
64,79.19595540364584,1.2374368031819662,3697.94970703125,224,30,10,fusion_residual,Residual,3,runs_binary_iqa/fusion_residual_seed3
8,5.121733093261719,0.6402166366577149,3042.02783203125,224,30,10,fusion_residual,Residual,4,runs_binary_iqa/fusion_residual_seed4
16,18.859014892578124,1.1786884307861327,928.4970703125,224,30,10,fusion_residual,Residual,4,runs_binary_iqa/fusion_residual_seed4
32,15.712247721354167,0.4910077412923177,1209.9189453125,224,30,10,fusion_residual,Residual,4,runs_binary_iqa/fusion_residual_seed4
64,101.75693359375,1.5899520874023438,3696.05908203125,224,30,10,fusion_residual,Residual,4,runs_binary_iqa/fusion_residual_seed4
8,4.974116516113281,0.6217645645141602,3044.39990234375,224,30,10,fusion_fixed_interp,FixedInterp,0,runs_binary_iqa/fusion_fixed_interp_seed0
16,7.794927978515625,0.4871829986572266,984.64990234375,224,30,10,fusion_fixed_interp,FixedInterp,0,runs_binary_iqa/fusion_fixed_interp_seed0
32,17.794301350911457,0.556071917215983,1321.58740234375,224,30,10,fusion_fixed_interp,FixedInterp,0,runs_binary_iqa/fusion_fixed_interp_seed0
64,68.60817057291666,1.0720026652018229,3697.08740234375,224,30,10,fusion_fixed_interp,FixedInterp,0,runs_binary_iqa/fusion_fixed_interp_seed0
8,10.292620849609374,1.2865776062011718,3045.28662109375,224,30,10,fusion_fixed_interp,FixedInterp,1,runs_binary_iqa/fusion_fixed_interp_seed1
16,7.812979125976563,0.4883111953735352,987.52099609375,224,30,10,fusion_fixed_interp,FixedInterp,1,runs_binary_iqa/fusion_fixed_interp_seed1
32,20.15311279296875,0.6297847747802734,1323.06787109375,224,30,10,fusion_fixed_interp,FixedInterp,1,runs_binary_iqa/fusion_fixed_interp_seed1
64,66.54263916015626,1.0397287368774415,3698.63037109375,224,30,10,fusion_fixed_interp,FixedInterp,1,runs_binary_iqa/fusion_fixed_interp_seed1
8,5.219956461588541,0.6524945576985677,3045.33349609375,224,30,10,fusion_fixed_interp,FixedInterp,2,runs_binary_iqa/fusion_fixed_interp_seed2
16,13.760132853190104,0.8600083033243815,985.15771484375,224,30,10,fusion_fixed_interp,FixedInterp,2,runs_binary_iqa/fusion_fixed_interp_seed2
32,33.54508056640625,1.0482837677001953,1321.64599609375,224,30,10,fusion_fixed_interp,FixedInterp,2,runs_binary_iqa/fusion_fixed_interp_seed2
64,38.83977864583333,0.6068715413411458,3697.58349609375,224,30,10,fusion_fixed_interp,FixedInterp,2,runs_binary_iqa/fusion_fixed_interp_seed2
8,5.20064951578776,0.65008118947347,3047.04052734375,224,30,10,fusion_fixed_interp,FixedInterp,3,runs_binary_iqa/fusion_fixed_interp_seed3
16,8.363620503743489,0.522726281483968,987.87646484375,224,30,10,fusion_fixed_interp,FixedInterp,3,runs_binary_iqa/fusion_fixed_interp_seed3
32,17.517519124348958,0.5474224726359049,1323.86865234375,224,30,10,fusion_fixed_interp,FixedInterp,3,runs_binary_iqa/fusion_fixed_interp_seed3
64,63.3284912109375,0.9895076751708984,3699.77490234375,224,30,10,fusion_fixed_interp,FixedInterp,3,runs_binary_iqa/fusion_fixed_interp_seed3
8,6.77741444905599,0.8471768061319987,3042.23974609375,224,30,10,fusion_fixed_interp,FixedInterp,4,runs_binary_iqa/fusion_fixed_interp_seed4
16,11.679739379882813,0.7299837112426758,983.13037109375,224,30,10,fusion_fixed_interp,FixedInterp,4,runs_binary_iqa/fusion_fixed_interp_seed4
32,15.96402587890625,0.4988758087158203,1320.06787109375,224,30,10,fusion_fixed_interp,FixedInterp,4,runs_binary_iqa/fusion_fixed_interp_seed4
64,47.4598388671875,0.7415599822998047,3695.56787109375,224,30,10,fusion_fixed_interp,FixedInterp,4,runs_binary_iqa/fusion_fixed_interp_seed4
8,5.062484232584636,0.6328105290730794,3227.0693359375,224,30,10,fusion_learnable_interp,LearnableInterp,0,runs_binary_iqa/fusion_learnable_interp_seed0
16,7.910966491699218,0.4944354057312011,1169.10498046875,224,30,10,fusion_learnable_interp,LearnableInterp,0,runs_binary_iqa/fusion_learnable_interp_seed0
32,15.94960428873698,0.4984251340230306,1506.54248046875,224,30,10,fusion_learnable_interp,LearnableInterp,0,runs_binary_iqa/fusion_learnable_interp_seed0
64,34.11514078776042,0.5330490748087565,3882.0224609375,224,30,10,fusion_learnable_interp,LearnableInterp,0,runs_binary_iqa/fusion_learnable_interp_seed0
8,5.682187906901041,0.7102734883626302,3044.9912109375,224,30,10,fusion_learnable_interp,LearnableInterp,1,runs_binary_iqa/fusion_learnable_interp_seed1
16,7.873963928222656,0.492122745513916,986.31982421875,224,30,10,fusion_learnable_interp,LearnableInterp,1,runs_binary_iqa/fusion_learnable_interp_seed1
32,17.365413411458334,0.542669169108073,1323.25732421875,224,30,10,fusion_learnable_interp,LearnableInterp,1,runs_binary_iqa/fusion_learnable_interp_seed1
64,41.59400227864583,0.6499062856038411,3699.5224609375,224,30,10,fusion_learnable_interp,LearnableInterp,1,runs_binary_iqa/fusion_learnable_interp_seed1
8,4.971208699544271,0.6214010874430339,3043.0107421875,224,30,10,fusion_learnable_interp,LearnableInterp,2,runs_binary_iqa/fusion_learnable_interp_seed2
16,7.839315287272135,0.4899572054545084,982.99560546875,224,30,10,fusion_learnable_interp,LearnableInterp,2,runs_binary_iqa/fusion_learnable_interp_seed2
32,20.70792846679688,0.6471227645874024,1320.60498046875,224,30,10,fusion_learnable_interp,LearnableInterp,2,runs_binary_iqa/fusion_learnable_interp_seed2
64,44.13736165364583,0.6896462758382161,3696.4326171875,224,30,10,fusion_learnable_interp,LearnableInterp,2,runs_binary_iqa/fusion_learnable_interp_seed2
8,7.171511332194011,0.8964389165242513,3043.9990234375,224,30,10,fusion_learnable_interp,LearnableInterp,3,runs_binary_iqa/fusion_learnable_interp_seed3
16,8.620374552408855,0.5387734095255534,985.51513671875,224,30,10,fusion_learnable_interp,LearnableInterp,3,runs_binary_iqa/fusion_learnable_interp_seed3
32,18.523063151041665,0.578845723470052,1321.35888671875,224,30,10,fusion_learnable_interp,LearnableInterp,3,runs_binary_iqa/fusion_learnable_interp_seed3
64,44.0845703125,0.6888214111328125,3697.8583984375,224,30,10,fusion_learnable_interp,LearnableInterp,3,runs_binary_iqa/fusion_learnable_interp_seed3
8,5.961258443196615,0.7451573053995768,3045.9912109375,224,30,10,fusion_learnable_interp,LearnableInterp,4,runs_binary_iqa/fusion_learnable_interp_seed4
