method_id,method_label,seed,run_dir,best_epoch,test_loss,test_macro_f1,test_balanced_acc,test_accuracy,test_auc,test_sensitivity_usable,test_specificity_unusable,forward_flops_per_sample,forward_gflops_per_sample,profiled_params
transfer_all,All,1,runs_binary_iqa/transfer_all_seed1,13.0,0.49912744120521535,0.8756232332845637,0.8773276892997475,0.8756281407035176,0.9442366950766563,0.841726618705036,0.9129287598944591,4131698688.0,4.131698688,23512130.0
transfer_all,All,2,runs_binary_iqa/transfer_all_seed2,20.0,0.4767874013936737,0.8969842742877344,0.8989135868086533,0.8969849246231156,0.9567143119277665,0.8585131894484412,0.9393139841688655,4131698688.0,4.131698688,23512130.0
transfer_all,All,3,runs_binary_iqa/transfer_all_seed3,19.0,0.39715456361671786,0.8843753947202223,0.8854805337787817,0.8844221105527639,0.9547528204349448,0.8633093525179856,0.9076517150395779,4131698688.0,4.131698688,23512130.0
transfer_all,All,4,runs_binary_iqa/transfer_all_seed4,24.0,0.47423295120664183,0.8701108180255539,0.8696462355181818,0.8706030150753769,0.9470460570857298,0.8896882494004796,0.8496042216358839,4131698688.0,4.131698688,23512130.0
transfer_l4,FT-S4,0,runs_binary_iqa/transfer_l4_seed0,16.0,0.5450650916982386,0.8680852474230221,0.8697727833564284,0.8680904522613065,0.9355618407648553,0.8345323741007195,0.9050131926121372,4131698688.0,4.131698688,23512130.0
transfer_l4,FT-S4,1,runs_binary_iqa/transfer_l4_seed1,25.0,0.5620850591251074,0.8655301385715932,0.8666533791436508,0.8655778894472361,0.9364223660649318,0.8441247002398081,0.8891820580474934,4131698688.0,4.131698688,23512130.0
transfer_l4,FT-S4,2,runs_binary_iqa/transfer_l4_seed2,21.0,0.41881105636981264,0.8943596549435966,0.8949526394715362,0.8944723618090452,0.950677980043406,0.8848920863309353,0.9050131926121372,4131698688.0,4.131698688,23512130.0
transfer_l4,FT-S4,3,runs_binary_iqa/transfer_l4_seed3,8.0,0.43349780563508444,0.8667929651731868,0.8679726403573711,0.8668341708542714,0.9364160386730194,0.8441247002398081,0.8918205804749341,4131698688.0,4.131698688,23512130.0
transfer_l4,FT-S4,4,runs_binary_iqa/transfer_l4_seed4,21.0,0.45423769902194566,0.8730705046329992,0.87420828508697,0.8731155778894473,0.9415032617705308,0.8513189448441247,0.8970976253298153,4131698688.0,4.131698688,23512130.0
transfer_l34,FT-S3-S4,0,runs_binary_iqa/transfer_l34_seed0,24.0,0.4518560178164889,0.8755572399744179,0.8764861461754079,0.8756281407035176,0.9498047999595046,0.8585131894484412,0.8944591029023746,4131698688.0,4.131698688,23512130.0
transfer_l34,FT-S3-S4,1,runs_binary_iqa/transfer_l34_seed1,20.0,0.5022803854908625,0.8894444444444445,0.8912384604189999,0.8894472361809045,0.9444075346582892,0.8537170263788969,0.9287598944591029,4131698688.0,4.131698688,23512130.0
transfer_l34,FT-S3-S4,2,runs_binary_iqa/transfer_l34_seed2,16.0,0.4466077440310663,0.8717783505154639,0.8726485829805812,0.871859296482412,0.9481470232784749,0.8561151079136691,0.8891820580474934,4131698688.0,4.131698688,23512130.0
transfer_l34,FT-S3-S4,3,runs_binary_iqa/transfer_l34_seed3,14.0,0.5082641763240567,0.8693467336683417,0.871332485462817,0.8693467336683417,0.9421929474889744,0.829736211031175,0.9129287598944591,4131698688.0,4.131698688,23512130.0
transfer_l34,FT-S3-S4,4,runs_binary_iqa/transfer_l34_seed4,8.0,0.45386519049991614,0.8819065656565657,0.8836835544756807,0.8819095477386935,0.9414779522028816,0.8465227817745803,0.920844327176781,4131698688.0,4.131698688,23512130.0
transfer_l234,FT-S2-S4,0,runs_binary_iqa/transfer_l234_seed0,22.0,0.33493394886223066,0.9056858628321729,0.9063451086096821,0.9057788944723618,0.9627506438121272,0.894484412470024,0.9182058047493403,4131698688.0,4.131698688,23512130.0
transfer_l234,FT-S2-S4,1,runs_binary_iqa/transfer_l234_seed1,11.0,0.46370989132681906,0.8743686868686869,0.8761286485323614,0.8743718592964824,0.9441354568060591,0.8393285371702638,0.9129287598944591,4131698688.0,4.131698688,23512130.0
transfer_l234,FT-S2-S4,2,runs_binary_iqa/transfer_l234_seed2,20.0,0.4665204318966857,0.8881399340309193,0.8891978765272742,0.8881909547738693,0.9544522693191093,0.86810551558753,0.9102902374670184,4131698688.0,4.131698688,23512130.0
transfer_l234,FT-S2-S4,3,runs_binary_iqa/transfer_l234_seed3,22.0,0.4422996935935401,0.8894444444444445,0.8917193422043368,0.8894472361809045,0.9576697481065279,0.8441247002398081,0.9393139841688655,4131698688.0,4.131698688,23512130.0
transfer_l234,FT-S2-S4,4,runs_binary_iqa/transfer_l234_seed4,7.0,0.3848941913389381,0.8680735870946357,0.870614326480768,0.8680904522613065,0.9430598001809634,0.8177458033573142,0.9234828496042217,4131698688.0,4.131698688,23512130.0
